"","match_id","start_time","duration","radiant_win","radiant_hero_id","dire_hero_id"
"31333",32587,2015-11-16 00:49:46,1870,"True","73,14,3,42,97","39,51,83,93,5"
"31334",32588,2015-11-16 00:50:10,3282,"True","21,22,42,36,56","32,29,73,15,2"
"31335",32589,2015-11-16 00:50:11,3623,"True","19,55,50,7,72","28,20,68,11,42"
"31336",32590,2015-11-16 00:50:13,2422,"False","67,22,100,50,14","86,93,59,71,36"
"31337",32591,2015-11-16 00:50:21,3295,"False","32,74,9,1,83","67,26,60,57,11"
"31338",32592,2015-11-16 00:50:32,1810,"False","7,39,55,13,93","112,1,21,28,101"
"31339",32593,2015-11-16 00:50:37,2167,"True","28,93,69,36,11","78,109,12,31,71"
"31340",32594,2015-11-16 00:50:51,1880,"True","74,93,69,73,14","21,26,41,86,107"
"31341",32595,2015-11-16 00:51:03,2660,"False","106,107,104,100,39","5,33,93,16,52"
"31342",32596,2015-11-16 00:51:10,2633,"False","11,21,8,62,111","74,30,72,100,104"
"31343",32597,2015-11-16 00:51:22,3015,"False","26,5,99,44,102","104,84,40,1,21"
"31344",32598,2015-11-16 00:51:23,2730,"False","21,102,8,14,35","55,106,26,62,1"
"31345",32599,2015-11-16 00:51:27,2585,"True","106,39,47,32,87","55,42,18,57,73"
"31346",32600,2015-11-16 00:51:36,2014,"True","37,74,40,67,69","8,26,21,100,99"
"31347",32601,2015-11-16 00:51:27,2914,"True","77,26,35,72,2","99,102,34,106,46"
"31348",32602,2015-11-16 00:51:49,3454,"True","30,29,79,23,102","63,6,22,7,20"
"31349",32603,2015-11-16 00:51:52,3476,"False","12,71,99,92,25","30,21,84,73,100"
"31350",32604,2015-11-16 00:52:06,2939,"True","51,31,39,64,48","53,104,25,56,22"
"31351",32605,2015-11-16 00:52:14,3155,"True","14,37,61,73,21","87,93,62,11,103"
"31352",32606,2015-11-16 00:52:35,2293,"False","85,72,79,102,39","100,2,67,21,27"
"31353",32607,2015-11-16 00:52:48,4040,"False","93,46,99,87,11","32,12,14,22,90"
"31354",32608,2015-11-16 00:52:42,1694,"True","72,67,69,21,50","28,85,4,42,75"
"31355",32609,2015-11-16 00:52:53,2037,"False","36,26,2,28,72","14,21,27,100,93"
"31356",32611,2015-11-16 00:53:10,1703,"True","63,8,101,2,35","46,25,57,21,1"
"31357",32612,2015-11-16 00:53:34,3198,"False","95,47,5,17,66","21,59,100,60,86"
"31358",32613,2015-11-16 00:53:33,4274,"False","47,59,5,23,99","111,42,15,27,2"
"31359",32615,2015-11-16 00:54:07,2034,"True","74,67,91,23,30","89,46,69,75,8"
"31360",32616,2015-11-16 00:54:01,1857,"True","51,44,25,75,68","5,106,93,46,86"
"31361",32617,2015-11-16 00:54:28,1544,"False","49,73,93,21,52","2,39,50,8,27"
"31362",32618,2015-11-16 00:54:34,2693,"True","39,21,1,87,68","73,25,30,8,47"
"31363",32619,2015-11-16 00:54:35,2177,"False","68,42,2,14,74","11,50,41,63,102"
"31364",32620,2015-11-16 00:54:46,1912,"False","43,65,71,31,28","74,95,104,102,85"
"31365",32621,2015-11-16 00:54:48,2158,"True","5,20,69,61,17","44,106,112,71,36"
"31366",32622,2015-11-16 00:54:50,2053,"True","69,39,1,30,68","21,74,73,54,7"
"31367",32623,2015-11-16 00:55:29,2560,"True","74,32,71,110,36","91,21,112,54,70"
"31368",32624,2015-11-16 00:55:08,2320,"False","50,68,33,61,95","31,72,11,104,90"
"31369",32625,2015-11-16 00:55:44,1839,"True","56,65,5,93,70","86,11,26,88,71"
"31370",32626,2015-11-16 00:55:57,2707,"True","19,26,62,14,11","7,60,101,93,74"
"31371",32628,2015-11-16 00:56:12,4569,"True","22,23,9,16,73","12,18,21,92,74"
"31372",32629,2015-11-16 00:56:09,3171,"False","40,51,42,69,30","28,11,62,44,26"
"31373",32631,2015-11-16 00:56:37,2704,"False","11,35,21,82,7","51,50,88,110,67"
"31374",32632,2015-11-16 00:56:27,2142,"False","112,84,104,21,44","97,81,29,15,74"
"31375",32633,2015-11-16 00:56:52,1936,"True","40,107,69,18,39","30,11,93,100,9"
"31376",32634,2015-11-16 00:57:00,2366,"False","33,35,74,102,41","5,9,44,39,107"
"31377",32635,2015-11-16 00:56:47,1775,"True","46,69,50,104,42","39,27,51,100,1"
"31378",32636,2015-11-16 00:56:54,3940,"True","86,62,44,7,25","2,72,46,112,16"
"31379",32637,2015-11-16 00:57:29,4188,"False","15,100,105,55,21","56,25,69,14,87"
"31380",32638,2015-11-16 00:57:41,2185,"False","71,67,26,106,14","5,21,109,88,62"
"31381",32639,2015-11-16 00:58:32,3120,"False","21,75,79,23,93","73,85,74,57,8"
"31382",32640,2015-11-16 00:58:05,3880,"False","11,68,77,6,69","36,95,50,94,46"
"31383",32641,2015-11-16 00:58:36,2087,"True","70,50,49,66,94","56,19,16,36,51"
"31384",32642,2015-11-16 00:58:32,3694,"False","102,95,110,36,83","19,53,38,74,87"
"31385",32643,2015-11-16 00:59:08,2476,"True","31,32,74,107,70","9,41,11,29,62"
"31386",32644,2015-11-16 00:59:09,2300,"True","47,45,74,67,36","42,94,68,106,84"
"31387",32645,2015-11-16 00:59:35,2925,"False","16,74,112,1,46","12,99,27,23,87"
"31388",32646,2015-11-16 00:59:44,2713,"True","75,21,19,106,33","37,79,12,29,25"
"31389",32647,2015-11-16 00:59:44,2024,"True","9,110,45,21,62","8,14,7,74,57"
"31390",32648,2015-11-16 00:59:33,2149,"True","11,50,12,80,9","87,106,42,74,8"
"31391",32649,2015-11-16 00:59:36,3070,"False","35,34,50,52,63","47,27,28,71,46"
"31392",32650,2015-11-16 00:59:56,2116,"False","69,26,17,8,21","57,106,100,75,1"
"31393",32651,2015-11-16 00:59:49,3099,"False","21,42,1,17,61","70,75,14,8,9"
"31394",32652,2015-11-16 01:00:18,1934,"True","102,46,5,41,70","93,101,11,75,42"
"31395",32653,2015-11-16 01:00:21,1854,"False","50,28,106,91,70","11,100,72,27,107"
"31396",32654,2015-11-16 01:00:40,2144,"False","3,9,72,26,21","20,109,7,76,8"
"31397",32655,2015-11-16 01:00:44,2207,"True","104,90,70,87,11","84,54,4,16,19"
"31398",32656,2015-11-16 01:00:46,2517,"False","11,54,63,68,100","73,62,93,5,19"
"31399",32657,2015-11-16 01:00:59,3398,"True","101,5,67,7,21","17,71,26,8,9"
"31400",32658,2015-11-16 01:01:21,2922,"True","11,8,32,45,9","58,93,26,73,2"
"31401",32659,2015-11-16 01:00:51,1899,"False","73,5,70,104,1","74,76,64,106,100"
"31402",32660,2015-11-16 01:01:19,2172,"True","69,14,21,72,112","31,28,11,1,5"
"31403",32661,2015-11-16 01:01:54,2542,"False","21,28,33,30,42","72,100,11,50,69"
"31404",32662,2015-11-16 01:02:02,3478,"False","76,67,25,16,102","46,112,72,26,21"
"31405",32663,2015-11-16 01:02:16,2047,"True","3,73,112,19,67","64,11,104,14,74"
"31406",32664,2015-11-16 01:02:17,2498,"False","21,61,69,42,26","62,11,1,25,99"
"31407",32665,2015-11-16 01:02:26,1625,"True","101,46,21,53,100","9,7,88,74,1"
"31408",32666,2015-11-16 01:02:21,2161,"True","19,48,14,101,21","97,10,39,104,72"
"31409",32667,2015-11-16 01:02:44,2581,"True","74,71,34,56,59","86,85,1,21,5"
"31410",32668,2015-11-16 01:02:37,1777,"True","74,42,14,36,112","46,97,86,41,75"
"31411",32669,2015-11-16 01:02:45,2311,"True","3,66,11,56,61","25,69,102,72,98"
"31412",32670,2015-11-16 01:02:43,2414,"True","50,29,11,35,42","63,25,48,46,32"
"31413",32671,2015-11-16 01:02:54,1663,"True","31,73,2,90,49","67,21,111,92,51"
"31414",32672,2015-11-16 01:02:37,2486,"True","68,4,94,93,15","25,51,36,30,44"
"31415",32673,2015-11-16 01:03:19,2526,"True","112,46,62,19,71","1,21,27,84,53"
"31416",32674,2015-11-16 01:03:21,2369,"False","56,110,112,8,107","11,72,57,60,36"
"31417",32675,2015-11-16 01:03:23,3495,"True","5,77,57,39,14","18,106,21,16,62"
"31418",32676,2015-11-16 01:03:25,2408,"True","85,106,27,23,93","31,19,46,68,98"
"31419",32677,2015-11-16 01:03:32,2122,"True","25,1,60,73,28","112,19,86,48,21"
"31420",32678,2015-11-16 01:03:41,3178,"True","5,46,106,55,74","34,27,69,8,40"
"31421",32679,2015-11-16 01:03:47,2455,"True","17,100,48,35,8","62,21,1,74,29"
"31422",32680,2015-11-16 01:03:57,2609,"True","97,1,32,13,30","23,14,73,29,65"
"31423",32681,2015-11-16 01:04:06,2371,"False","97,95,44,50,1","19,91,34,90,81"
"31424",32682,2015-11-16 01:04:02,2317,"True","30,27,7,23,93","100,53,70,25,12"
"31425",32683,2015-11-16 01:04:18,2617,"False","104,89,62,74,15","54,39,95,28,52"
"31426",32684,2015-11-16 01:04:22,3016,"True","109,11,50,73,84","60,67,71,30,101"
"31427",32685,2015-11-16 01:04:17,2101,"False","98,8,100,11,75","9,46,21,5,48"
"31428",32686,2015-11-16 01:04:27,2678,"True","104,63,5,14,100","106,39,74,112,7"
"31429",32687,2015-11-16 01:04:59,2908,"False","8,112,46,51,101","96,11,14,7,49"
"31430",32688,2015-11-16 01:05:07,2781,"False","73,1,102,28,75","31,39,107,69,44"
"31431",32689,2015-11-16 01:04:58,2310,"False","8,70,21,95,85","42,1,4,74,12"
"31432",32690,2015-11-16 01:05:20,2602,"True","104,57,75,62,11","100,39,53,28,21"
"31433",32691,2015-11-16 01:05:53,3508,"True","22,63,84,30,19","27,48,10,14,74"
"31434",32692,2015-11-16 01:06:10,4234,"True","7,73,5,98,11","68,39,2,86,77"
"31435",32693,2015-11-16 01:06:21,3270,"True","35,23,2,94,9","85,99,4,14,19"
"31436",32694,2015-11-16 01:06:25,2024,"True","57,20,93,43,106","73,21,92,44,102"
"31437",32695,2015-11-16 01:06:30,2838,"False","68,45,39,12,32","27,104,94,40,76"
"31438",32697,2015-11-16 01:06:40,3736,"True","22,30,72,75,1","73,53,95,98,19"
"31439",32698,2015-11-16 01:06:43,1519,"False","107,93,86,7,89","100,98,5,73,63"
"31440",32699,2015-11-16 01:06:43,2766,"False","97,27,60,85,10","7,8,14,63,1"
"31441",32700,2015-11-16 01:07:02,2484,"True","28,102,75,1,106","71,31,39,7,74"
"31442",32701,2015-11-16 01:06:37,3174,"False","21,1,33,86,81","7,8,104,55,14"
